lat_lon,county
48.8261.-99.7667,ROLETTE

48.7569.-99.8463,ROLETTE

47.9503.-98.9671,BENSON

47.9939.-99.0025,BENSON

47.98.-98.8754,BENSON

46.08642.-100.633,SIOUX

47.9831.-98.8921,BENSON

47.9861.-98.9893,BENSON

47.97.-99.0393,BENSON

47.7175.-102.7,MCKENZIE

47.9917.-99.0421,BENSON

47.9903.-98.9004,BENSON

47.9222.-98.8153,BENSON

47.9967.-98.8898,BENSON

47.9197.-98.9014,BENSON

47.97115846.-99.0173126,BENSON

47.9817.-98.9168,BENSON

46.3714.-100.6621,SIOUX

48.9208.-99.92,ROLETTE

48.8864.-99.7801,ROLETTE

46.0917.-100.6594,SIOUX

47.9783.-98.9172,BENSON

48.8458.-100.0444,ROLETTE

48.7381.-99.6501,ROLETTE

47.9164.-98.8334,BENSON

46.0483.-100.6918,SIOUX

47.9831.-98.8835,BENSON

47.9792.-99.0087,BENSON

47.9875.-99.0421,BENSON

48.8364.-99.7353,ROLETTE

47.9875.-98.9754,BENSON

48.8675.-99.7205,ROLETTE

46.78444444.-103.3025,BILLINGS

48.0167.-98.7837,RAMSEY

46.1144.-100.6693,SIOUX

47.9775.-102.4908,MOUNTRAIL

48.8658.-100.0286,ROLETTE

47.9947.-98.8131,BENSON

46.42083333.-103.835,SLOPE

48.436897.-102.305107,MOUNTRAIL

47.9414.-98.8044,BENSON

48.8392.-99.773,ROLETTE

48.8219.-99.7482,ROLETTE

47.9869.-99.0826,BENSON

47.9861.-102.5989,MCKENZIE

48.8542.-99.8449,ROLETTE

47.9442.-99.0853,BENSON

47.3475.-103.10361111,DUNN

48.0069.-98.8503,BENSON

47.9714.-99.0239,BENSON

47.9194.-98.9607,BENSON

48.8208.-99.8768,ROLETTE

48.8639.-99.7249,ROLETTE

47.9775.-99.0008,BENSON

47.9542.-98.9878,BENSON

46.0075.-100.6285,SIOUX

48.8389.-99.7496,ROLETTE

46.1053.-100.6437,SIOUX

47.9972.-98.999,BENSON

47.8378.-98.9307,EDDY

46.1333.-100.6671,SIOUX

47.9722.-98.8559,BENSON

47.9583.-99.0546,BENSON

47.9881.-99.0001,BENSON

47.8431.-102.7203,MCKENZIE

48.8342.-99.7449,ROLETTE

47.9772.-98.9331,BENSON

48.8389.-99.7447,ROLETTE

47.9867.-98.7893,BENSON

47.8.-99.0171,EDDY

46.1064.-100.6412,SIOUX

45.9969.-100.9396,SIOUX

45.9847.-100.6279,SIOUX

46.1.-100.6337,SIOUX

47.9817.-99.0179,BENSON

48.8678.-100.0267,ROLETTE

47.975.-98.8462,BENSON

47.9817.-98.9978,BENSON

48.0136.-98.8812,BENSON

47.9719.-99.0794,BENSON

47.9492.-98.9321,BENSON

47.9792.-98.9879,BENSON

47.9831.-99.0214,BENSON

46.86805556.-103.5925,BILLINGS

